,colonized_admission,infected_admission,colonized_transfer,infected_transfer,colonized_incidence,infected_incidence
0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0
3,2.0,0.0,0.0,0.0,1.0,0.0
4,1.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.0,0.0
6,1.0,0.0,0.0,0.0,1.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,2.0,0.0
10,1.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,1.0,0.0
13,1.0,0.0,0.0,0.0,2.0,0.0
14,2.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,1.0,0.0
16,1.0,0.0,0.0,0.0,2.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,3.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0,1.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,2.0,0.0,0.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0,1.0,0.0
27,2.0,0.0,0.0,0.0,1.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,2.0,0.0,0.0,0.0,2.0,0.0
31,0.0,0.0,0.0,0.0,1.0,0.0
32,2.0,0.0,0.0,0.0,0.0,0.0
33,2.0,0.0,0.0,0.0,0.0,0.0
34,2.0,0.0,0.0,0.0,1.0,0.0
35,0.0,0.0,0.0,0.0,1.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0,1.0,0.0
40,2.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,1.0,0.0
42,1.0,0.0,0.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0,1.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,2.0,0.0,0.0,0.0,1.0,0.0
46,1.0,0.0,0.0,0.0,1.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,2.0,0.0
50,1.0,0.0,0.0,0.0,2.0,0.0
51,0.0,0.0,0.0,0.0,1.0,0.0
52,1.0,0.0,0.0,0.0,2.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,2.0,0.0,0.0,0.0,1.0,0.0
55,2.0,0.0,0.0,0.0,1.0,0.0
56,1.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,1.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0,1.0,0.0
60,3.0,0.0,0.0,0.0,1.0,0.0
61,2.0,0.0,0.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0
65,2.0,0.0,0.0,0.0,1.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0,1.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0
69,2.0,0.0,0.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0
76,2.0,0.0,0.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,2.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0
81,2.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0,0.0,0.0
86,3.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,3.0,0.0
88,0.0,0.0,0.0,0.0,1.0,0.0
89,1.0,0.0,0.0,0.0,1.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,1.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0,1.0,0.0
96,1.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0
98,2.0,0.0,0.0,0.0,2.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0
100,1.0,0.0,0.0,0.0,1.0,0.0
101,1.0,0.0,0.0,0.0,1.0,0.0
102,1.0,0.0,0.0,0.0,0.0,0.0
103,2.0,0.0,0.0,0.0,1.0,0.0
104,1.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,2.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,1.0,0.0
108,2.0,0.0,0.0,0.0,0.0,0.0
109,1.0,0.0,0.0,0.0,1.0,0.0
110,1.0,0.0,0.0,0.0,1.0,0.0
111,0.0,0.0,0.0,0.0,1.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0
113,1.0,0.0,0.0,0.0,1.0,0.0
114,1.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,1.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,1.0,0.0
118,1.0,0.0,0.0,0.0,1.0,0.0
119,2.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,1.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,1.0,0.0
123,1.0,0.0,0.0,0.0,1.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,3.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0
127,1.0,0.0,0.0,0.0,1.0,0.0
128,0.0,0.0,0.0,0.0,2.0,0.0
129,2.0,0.0,0.0,0.0,1.0,0.0
130,1.0,0.0,0.0,0.0,0.0,0.0
131,2.0,0.0,0.0,0.0,1.0,0.0
132,0.0,0.0,0.0,0.0,1.0,0.0
133,0.0,0.0,0.0,0.0,5.0,0.0
134,1.0,0.0,0.0,0.0,1.0,0.0
135,0.0,0.0,0.0,0.0,2.0,0.0
136,0.0,0.0,0.0,0.0,1.0,0.0
137,2.0,0.0,0.0,0.0,1.0,0.0
138,1.0,0.0,0.0,0.0,3.0,0.0
139,1.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,1.0,0.0
141,1.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,1.0,0.0
143,1.0,0.0,0.0,0.0,1.0,0.0
144,1.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0
146,2.0,0.0,0.0,0.0,0.0,0.0
147,1.0,0.0,0.0,0.0,0.0,0.0
148,2.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0
150,2.0,0.0,0.0,0.0,0.0,0.0
151,2.0,0.0,0.0,0.0,1.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0
153,1.0,0.0,0.0,0.0,0.0,0.0
154,1.0,0.0,0.0,0.0,1.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0
156,2.0,0.0,0.0,0.0,2.0,0.0
157,0.0,0.0,0.0,0.0,2.0,0.0
158,1.0,0.0,0.0,0.0,1.0,0.0
159,0.0,0.0,0.0,0.0,2.0,0.0
160,0.0,0.0,0.0,0.0,1.0,0.0
161,0.0,0.0,0.0,0.0,1.0,0.0
162,1.0,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,1.0,0.0
164,2.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0
166,1.0,0.0,0.0,0.0,1.0,0.0
167,1.0,0.0,0.0,0.0,1.0,0.0
168,2.0,0.0,0.0,0.0,1.0,0.0
169,3.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,2.0,0.0
171,1.0,0.0,0.0,0.0,0.0,0.0
172,3.0,0.0,0.0,0.0,1.0,0.0
173,1.0,0.0,0.0,0.0,1.0,0.0
174,0.0,0.0,0.0,0.0,1.0,0.0
175,0.0,0.0,0.0,0.0,1.0,0.0
176,1.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,1.0,0.0
178,0.0,0.0,0.0,0.0,2.0,0.0
179,2.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,1.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0
182,2.0,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0,0.0,0.0
184,1.0,0.0,0.0,0.0,2.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,3.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0
188,1.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0,0.0
190,2.0,0.0,0.0,0.0,1.0,0.0
191,1.0,0.0,0.0,0.0,1.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0
194,1.0,0.0,0.0,0.0,0.0,0.0
195,2.0,0.0,0.0,0.0,2.0,0.0
196,2.0,0.0,0.0,0.0,0.0,0.0
197,1.0,0.0,0.0,0.0,1.0,0.0
198,1.0,0.0,0.0,0.0,2.0,0.0
199,2.0,0.0,0.0,0.0,1.0,0.0
200,1.0,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0
203,2.0,0.0,0.0,0.0,0.0,0.0
204,3.0,0.0,0.0,0.0,0.0,0.0
205,2.0,0.0,0.0,0.0,0.0,0.0
206,1.0,0.0,0.0,0.0,0.0,0.0
207,1.0,0.0,0.0,0.0,1.0,0.0
208,2.0,0.0,0.0,0.0,2.0,0.0
209,2.0,0.0,0.0,0.0,0.0,0.0
210,1.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0
212,2.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,1.0,0.0
214,2.0,0.0,0.0,0.0,0.0,0.0
215,3.0,0.0,0.0,0.0,0.0,0.0
216,2.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0
218,2.0,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0
220,1.0,0.0,0.0,0.0,0.0,0.0
221,2.0,0.0,0.0,0.0,2.0,0.0
222,0.0,0.0,0.0,0.0,1.0,0.0
223,1.0,0.0,0.0,0.0,1.0,0.0
224,0.0,0.0,0.0,0.0,1.0,0.0
225,1.0,0.0,0.0,0.0,1.0,0.0
226,1.0,0.0,0.0,0.0,1.0,0.0
227,1.0,0.0,0.0,0.0,0.0,0.0
228,1.0,0.0,0.0,0.0,0.0,0.0
229,1.0,0.0,0.0,0.0,0.0,0.0
230,1.0,0.0,0.0,0.0,0.0,0.0
231,2.0,0.0,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0
233,1.0,0.0,0.0,0.0,0.0,0.0
234,2.0,0.0,0.0,0.0,0.0,0.0
235,1.0,0.0,0.0,0.0,0.0,0.0
236,3.0,0.0,0.0,0.0,0.0,0.0
237,1.0,0.0,0.0,0.0,1.0,0.0
238,1.0,0.0,0.0,0.0,0.0,0.0
239,1.0,0.0,0.0,0.0,0.0,0.0
240,3.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,2.0,0.0
242,1.0,0.0,0.0,0.0,1.0,0.0
243,0.0,0.0,0.0,0.0,3.0,0.0
244,1.0,0.0,0.0,0.0,0.0,0.0
245,1.0,0.0,0.0,0.0,1.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0
247,1.0,0.0,0.0,0.0,1.0,0.0
248,0.0,0.0,0.0,0.0,0.0,0.0
249,2.0,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0
251,2.0,0.0,0.0,0.0,3.0,0.0
252,1.0,0.0,0.0,0.0,1.0,0.0
253,0.0,0.0,0.0,0.0,0.0,0.0
254,2.0,0.0,0.0,0.0,2.0,0.0
255,0.0,0.0,0.0,0.0,0.0,0.0
256,3.0,0.0,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0,0.0,0.0
258,2.0,0.0,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0,3.0,0.0
260,1.0,0.0,0.0,0.0,0.0,0.0
261,1.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0
263,3.0,0.0,0.0,0.0,0.0,0.0
264,2.0,0.0,0.0,0.0,2.0,0.0
265,2.0,0.0,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0,2.0,0.0
267,2.0,0.0,0.0,0.0,0.0,0.0
268,3.0,0.0,0.0,0.0,1.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0
270,1.0,0.0,0.0,0.0,0.0,0.0
271,1.0,0.0,0.0,0.0,1.0,0.0
272,0.0,0.0,0.0,0.0,1.0,0.0
273,2.0,0.0,0.0,0.0,2.0,0.0
274,0.0,0.0,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0,1.0,0.0
276,0.0,0.0,0.0,0.0,0.0,0.0
277,0.0,0.0,0.0,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0,1.0,0.0
279,0.0,0.0,0.0,0.0,0.0,0.0
280,1.0,0.0,0.0,0.0,2.0,0.0
281,0.0,0.0,0.0,0.0,0.0,0.0
282,2.0,0.0,0.0,0.0,2.0,0.0
283,0.0,0.0,0.0,0.0,1.0,0.0
284,0.0,0.0,0.0,0.0,0.0,0.0
285,5.0,0.0,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0,2.0,0.0
287,0.0,0.0,0.0,0.0,1.0,0.0
288,2.0,0.0,0.0,0.0,3.0,0.0
289,0.0,0.0,0.0,0.0,1.0,0.0
290,2.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,1.0,0.0
292,1.0,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0
294,1.0,0.0,0.0,0.0,1.0,0.0
295,2.0,0.0,0.0,0.0,0.0,0.0
296,1.0,0.0,0.0,0.0,1.0,0.0
297,2.0,0.0,0.0,0.0,0.0,0.0
298,2.0,0.0,0.0,0.0,0.0,0.0
299,3.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0
301,3.0,0.0,0.0,0.0,0.0,0.0
302,0.0,0.0,0.0,0.0,0.0,0.0
303,1.0,0.0,0.0,0.0,0.0,0.0
304,1.0,0.0,0.0,0.0,3.0,0.0
305,1.0,0.0,0.0,0.0,1.0,0.0
306,0.0,0.0,0.0,0.0,0.0,0.0
307,1.0,0.0,0.0,0.0,1.0,0.0
308,0.0,0.0,0.0,0.0,1.0,0.0
309,1.0,0.0,0.0,0.0,0.0,0.0
310,1.0,0.0,0.0,0.0,1.0,0.0
311,0.0,0.0,0.0,0.0,0.0,0.0
312,1.0,0.0,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0
315,1.0,0.0,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0,0.0,0.0
317,2.0,0.0,0.0,0.0,0.0,0.0
318,1.0,0.0,0.0,0.0,0.0,0.0
319,1.0,0.0,0.0,0.0,1.0,0.0
320,1.0,0.0,0.0,0.0,0.0,0.0
321,1.0,0.0,0.0,0.0,0.0,0.0
322,1.0,0.0,0.0,0.0,0.0,0.0
323,1.0,0.0,0.0,0.0,0.0,0.0
324,2.0,0.0,0.0,0.0,1.0,0.0
325,1.0,0.0,0.0,0.0,0.0,0.0
326,0.0,0.0,0.0,0.0,0.0,0.0
327,2.0,0.0,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,0.0,2.0,0.0
329,0.0,0.0,0.0,0.0,1.0,0.0
330,0.0,0.0,0.0,0.0,0.0,0.0
331,2.0,0.0,0.0,0.0,1.0,0.0
332,2.0,0.0,0.0,0.0,0.0,0.0
333,0.0,0.0,0.0,0.0,1.0,0.0
334,1.0,0.0,0.0,0.0,0.0,0.0
335,1.0,0.0,0.0,0.0,1.0,0.0
336,1.0,0.0,0.0,0.0,0.0,0.0
337,1.0,0.0,0.0,0.0,1.0,0.0
338,1.0,0.0,0.0,0.0,0.0,0.0
339,2.0,0.0,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0,0.0,0.0
341,1.0,0.0,0.0,0.0,1.0,0.0
342,0.0,0.0,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0,2.0,0.0
344,2.0,0.0,0.0,0.0,1.0,0.0
345,2.0,0.0,0.0,0.0,0.0,0.0
346,1.0,0.0,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,0.0,1.0,0.0
348,0.0,0.0,0.0,0.0,1.0,0.0
349,1.0,0.0,0.0,0.0,0.0,0.0
350,2.0,0.0,0.0,0.0,0.0,0.0
351,2.0,0.0,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,0.0,1.0,0.0
353,1.0,0.0,0.0,0.0,0.0,0.0
354,2.0,0.0,0.0,0.0,1.0,0.0
355,0.0,0.0,0.0,0.0,0.0,0.0
356,2.0,0.0,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,0.0,0.0,0.0
358,1.0,0.0,0.0,0.0,0.0,0.0
359,2.0,0.0,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0,2.0,0.0
361,2.0,0.0,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0,1.0,0.0
363,3.0,0.0,0.0,0.0,0.0,0.0
364,2.0,0.0,0.0,0.0,1.0,0.0
365,1.0,0.0,0.0,0.0,0.0,0.0
366,1.0,0.0,0.0,0.0,0.0,0.0
367,1.0,0.0,0.0,0.0,1.0,0.0
368,2.0,0.0,0.0,0.0,0.0,0.0
369,1.0,0.0,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0,0.0,0.0
372,1.0,0.0,0.0,0.0,0.0,0.0
373,1.0,0.0,0.0,0.0,1.0,0.0
374,2.0,0.0,0.0,0.0,0.0,0.0
375,1.0,0.0,0.0,0.0,0.0,0.0
376,1.0,0.0,0.0,0.0,0.0,0.0
377,0.0,0.0,0.0,0.0,0.0,0.0
378,2.0,0.0,0.0,0.0,1.0,0.0
379,0.0,0.0,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0,0.0,0.0
381,1.0,0.0,0.0,0.0,0.0,0.0
382,0.0,0.0,0.0,0.0,0.0,0.0
383,0.0,0.0,0.0,0.0,0.0,0.0
384,2.0,0.0,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0,0.0,0.0
386,0.0,0.0,0.0,0.0,0.0,0.0
387,0.0,0.0,0.0,0.0,0.0,0.0
388,1.0,0.0,0.0,0.0,0.0,0.0
389,0.0,0.0,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0,0.0,0.0
391,1.0,0.0,0.0,0.0,0.0,0.0
392,1.0,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0,0.0,0.0
394,1.0,0.0,0.0,0.0,1.0,0.0
395,0.0,0.0,0.0,0.0,0.0,0.0
396,1.0,0.0,0.0,0.0,1.0,0.0
397,1.0,0.0,0.0,0.0,2.0,0.0
398,0.0,0.0,0.0,0.0,0.0,0.0
399,2.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0,0.0,0.0
402,1.0,0.0,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0,0.0,0.0
404,1.0,0.0,0.0,0.0,1.0,0.0
405,1.0,0.0,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0,3.0,0.0
407,0.0,0.0,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,0.0,1.0,0.0
409,0.0,0.0,0.0,0.0,1.0,0.0
410,2.0,0.0,0.0,0.0,2.0,0.0
411,0.0,0.0,0.0,0.0,0.0,0.0
412,2.0,0.0,0.0,0.0,1.0,0.0
413,0.0,0.0,0.0,0.0,1.0,0.0
414,2.0,0.0,0.0,0.0,2.0,0.0
415,0.0,0.0,0.0,0.0,1.0,0.0
416,2.0,0.0,0.0,0.0,0.0,0.0
417,2.0,0.0,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0,1.0,0.0
419,1.0,0.0,0.0,0.0,0.0,0.0
420,0.0,0.0,0.0,0.0,1.0,0.0
421,0.0,0.0,0.0,0.0,1.0,0.0
422,1.0,0.0,0.0,0.0,3.0,0.0
423,0.0,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,1.0,0.0
425,0.0,0.0,0.0,0.0,0.0,0.0
426,1.0,0.0,0.0,0.0,1.0,0.0
427,0.0,0.0,0.0,0.0,0.0,0.0
428,2.0,0.0,0.0,0.0,2.0,0.0
429,0.0,0.0,0.0,0.0,1.0,0.0
430,0.0,0.0,0.0,0.0,3.0,0.0
431,1.0,0.0,0.0,0.0,0.0,0.0
432,1.0,0.0,0.0,0.0,0.0,0.0
433,0.0,0.0,0.0,0.0,0.0,0.0
434,1.0,0.0,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.0,1.0,0.0
437,0.0,0.0,0.0,0.0,0.0,0.0
438,2.0,0.0,0.0,0.0,0.0,0.0
439,4.0,0.0,0.0,0.0,1.0,0.0
440,1.0,0.0,0.0,0.0,1.0,0.0
441,0.0,0.0,0.0,0.0,0.0,0.0
442,1.0,0.0,0.0,0.0,1.0,0.0
443,1.0,0.0,0.0,0.0,4.0,0.0
444,2.0,0.0,0.0,0.0,1.0,0.0
445,0.0,0.0,0.0,0.0,1.0,0.0
446,1.0,0.0,0.0,0.0,1.0,0.0
447,1.0,0.0,0.0,0.0,1.0,0.0
448,0.0,0.0,0.0,0.0,2.0,0.0
449,3.0,0.0,0.0,0.0,2.0,0.0
450,4.0,0.0,0.0,0.0,1.0,0.0
451,0.0,0.0,0.0,0.0,0.0,0.0
452,1.0,0.0,0.0,0.0,2.0,0.0
453,0.0,0.0,0.0,0.0,0.0,0.0
454,1.0,0.0,0.0,0.0,1.0,0.0
455,4.0,0.0,0.0,0.0,2.0,0.0
456,2.0,0.0,0.0,0.0,1.0,0.0
457,1.0,0.0,0.0,0.0,1.0,0.0
458,2.0,0.0,0.0,0.0,1.0,0.0
459,1.0,0.0,0.0,0.0,1.0,0.0
460,0.0,0.0,0.0,0.0,0.0,0.0
461,1.0,0.0,0.0,0.0,0.0,0.0
462,0.0,0.0,0.0,0.0,1.0,0.0
463,1.0,0.0,0.0,0.0,1.0,0.0
464,1.0,0.0,0.0,0.0,0.0,0.0
465,2.0,0.0,0.0,0.0,1.0,0.0
466,0.0,0.0,0.0,0.0,1.0,0.0
467,2.0,0.0,0.0,0.0,1.0,0.0
468,0.0,0.0,0.0,0.0,0.0,0.0
469,1.0,0.0,0.0,0.0,0.0,0.0
470,0.0,0.0,0.0,0.0,2.0,0.0
471,1.0,0.0,0.0,0.0,1.0,0.0
472,4.0,0.0,0.0,0.0,0.0,0.0
473,1.0,0.0,0.0,0.0,0.0,0.0
474,1.0,0.0,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0,3.0,0.0
476,0.0,0.0,0.0,0.0,1.0,0.0
477,0.0,0.0,0.0,0.0,2.0,0.0
478,1.0,0.0,0.0,0.0,1.0,0.0
479,0.0,0.0,0.0,0.0,2.0,0.0
480,1.0,0.0,0.0,0.0,1.0,0.0
481,2.0,0.0,0.0,0.0,0.0,0.0
482,1.0,0.0,0.0,0.0,0.0,0.0
483,0.0,0.0,0.0,0.0,0.0,0.0
484,0.0,0.0,0.0,0.0,0.0,0.0
485,4.0,0.0,0.0,0.0,0.0,0.0
486,0.0,0.0,0.0,0.0,1.0,0.0
487,1.0,0.0,0.0,0.0,1.0,0.0
488,0.0,0.0,0.0,0.0,1.0,0.0
489,0.0,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0,0.0
491,1.0,0.0,0.0,0.0,1.0,0.0
492,1.0,0.0,0.0,0.0,0.0,0.0
493,1.0,0.0,0.0,0.0,0.0,0.0
494,1.0,0.0,0.0,0.0,0.0,0.0
495,1.0,0.0,0.0,0.0,0.0,0.0
496,3.0,0.0,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0,2.0,0.0
498,2.0,0.0,0.0,0.0,0.0,0.0
